algorithm,scenario,service,users,column,start_time,end_time,avg_cpu_usage,avg_memory_usage,execution_time
lof,scenario_A,ts-order-service,100,ts-consign-mongo_energy,2024-08-28 15:15:20.122103,2024-08-28 15:15:21.194106,0.0,727.4609375,0 days 00:00:01.072003
svm,scenario_A,ts-order-service,100,ts-consign-mongo_energy,2024-08-28 15:15:21.637347,2024-08-28 15:15:22.985904,0.0,727.22265625,0 days 00:00:01.348557
BIRCH,scenario_A,ts-order-service,100,ts-consign-price-mongo_energy,2024-08-28 15:15:22.985904,2024-08-28 15:15:24.034857,0.0,727.22265625,0 days 00:00:01.048953
iforest,scenario_A,ts-order-service,100,ts-consign-price-mongo_energy,2024-08-28 15:15:24.567524,2024-08-28 15:15:25.650205,0.0,728.35546875,0 days 00:00:01.082681
knn,scenario_A,ts-order-service,100,ts-consign-price-mongo_energy,2024-08-28 15:15:26.344760,2024-08-28 15:15:27.498291,1.6,726.6171875,0 days 00:00:01.153531
lof,scenario_A,ts-order-service,100,ts-consign-price-mongo_energy,2024-08-28 15:15:27.965100,2024-08-28 15:15:29.045644,0.0,726.921875,0 days 00:00:01.080544
svm,scenario_A,ts-order-service,100,ts-consign-price-mongo_energy,2024-08-28 15:15:29.479733,2024-08-28 15:15:30.879354,0.0,726.67578125,0 days 00:00:01.399621
BIRCH,scenario_A,ts-order-service,100,ts-consign-price-service_energy,2024-08-28 15:15:30.879354,2024-08-28 15:15:31.919074,0.0,726.67578125,0 days 00:00:01.039720
iforest,scenario_A,ts-order-service,100,ts-consign-price-service_energy,2024-08-28 15:15:32.448144,2024-08-28 15:15:33.562929,0.0,728.87890625,0 days 00:00:01.114785
knn,scenario_A,ts-order-service,100,ts-consign-price-service_energy,2024-08-28 15:15:34.060057,2024-08-28 15:15:35.262333,0.0,726.5390625,0 days 00:00:01.202276
lof,scenario_A,ts-order-service,100,ts-consign-price-service_energy,2024-08-28 15:15:35.828801,2024-08-28 15:15:36.909045,1.6,726.703125,0 days 00:00:01.080244
svm,scenario_A,ts-order-service,100,ts-consign-price-service_energy,2024-08-28 15:15:37.490834,2024-08-28 15:15:38.843855,1.6,726.44921875,0 days 00:00:01.353021
BIRCH,scenario_A,ts-order-service,100,ts-consign-service_energy,2024-08-28 15:15:38.843855,2024-08-28 15:15:39.886281,0.0,726.44921875,0 days 00:00:01.042426
iforest,scenario_A,ts-order-service,100,ts-consign-service_energy,2024-08-28 15:15:40.820357,2024-08-28 15:15:41.936614,1.5,728.25390625,0 days 00:00:01.116257
knn,scenario_A,ts-order-service,100,ts-consign-service_energy,2024-08-28 15:15:42.467960,2024-08-28 15:15:43.687912,0.0,726.6328125,0 days 00:00:01.219952
lof,scenario_A,ts-order-service,100,ts-consign-service_energy,2024-08-28 15:15:44.224607,2024-08-28 15:15:45.328067,0.0,726.8046875,0 days 00:00:01.103460
svm,scenario_A,ts-order-service,100,ts-consign-service_energy,2024-08-28 15:15:45.916090,2024-08-28 15:15:47.345110,0.0,726.5625,0 days 00:00:01.429020
BIRCH,scenario_A,ts-order-service,100,ts-contacts-mongo_energy,2024-08-28 15:15:47.346682,2024-08-28 15:15:48.379262,0.0,726.5625,0 days 00:00:01.032580
iforest,scenario_A,ts-order-service,100,ts-contacts-mongo_energy,2024-08-28 15:15:48.930219,2024-08-28 15:15:50.046569,1.5,729.375,0 days 00:00:01.116350
knn,scenario_A,ts-order-service,100,ts-contacts-mongo_energy,2024-08-28 15:15:50.648790,2024-08-28 15:15:51.795440,0.0,726.8984375,0 days 00:00:01.146650
lof,scenario_A,ts-order-service,100,ts-contacts-mongo_energy,2024-08-28 15:15:52.473869,2024-08-28 15:15:53.548735,0.0,727.203125,0 days 00:00:01.074866
svm,scenario_A,ts-order-service,100,ts-contacts-mongo_energy,2024-08-28 15:15:54.035015,2024-08-28 15:15:55.328014,0.0,726.98046875,0 days 00:00:01.292999
BIRCH,scenario_A,ts-order-service,100,ts-contacts-service_energy,2024-08-28 15:15:55.328014,2024-08-28 15:15:56.358564,0.0,726.98046875,0 days 00:00:01.030550
iforest,scenario_A,ts-order-service,100,ts-contacts-service_energy,2024-08-28 15:15:56.915448,2024-08-28 15:15:58.019308,0.0,729.01171875,0 days 00:00:01.103860
