Model,Level,Scenario,Service,Users,Metric,Value
circa,default,scenario_A,front-end,1000,Precision@2,1.0
circa,default,scenario_A,front-end,1000,Precision@2,0.0
circa,default,scenario_A,front-end,1000,Precision@2,0.0
circa,default,scenario_A,front-end,1000,Precision@3,0.6666666666666666
circa,default,scenario_A,front-end,1000,Precision@3,1.0
circa,default,scenario_A,front-end,1000,Precision@3,0.0
circa,default,scenario_A,front-end,1000,Precision@3,0.0
circa,default,scenario_A,front-end,1000,Precision@3,0.3333333333333333
circa,default,scenario_A,front-end,1000,Precision@3,1.0
circa,default,scenario_A,front-end,1000,Precision@3,0.6666666666666666
circa,default,scenario_A,front-end,1000,Precision@3,1.0
circa,default,scenario_A,front-end,1000,Precision@3,0.3333333333333333
circa,default,scenario_A,front-end,1000,Precision@3,1.0
circa,default,scenario_A,front-end,1000,Precision@3,0.0
