Algorithm,Level,Scenario,Service,Users,Metric,Value
BIRCH,high,scenario_A,ts-order-service,100,Accuracy,0.121
BIRCH,high,scenario_A,ts-order-service,100,Accuracy,0.4
BIRCH,high,scenario_A,ts-order-service,100,Accuracy,0.0
BIRCH,high,scenario_A,ts-order-service,100,Accuracy,0.0
BIRCH,high,scenario_A,ts-order-service,100,Accuracy,0.0
BIRCH,high,scenario_A,ts-order-service,100,Accuracy,0.0
BIRCH,high,scenario_A,ts-order-service,100,Accuracy,0.364
BIRCH,high,scenario_A,ts-order-service,100,Accuracy,0.421
BIRCH,high,scenario_A,ts-order-service,100,Accuracy,0.2
BIRCH,high,scenario_A,ts-order-service,100,Accuracy,0.286
BIRCH,high,scenario_A,ts-order-service,100,Accuracy,0.31
BIRCH,high,scenario_A,ts-order-service,100,Accuracy,0.11
BIRCH,high,scenario_A,ts-order-service,100,Accuracy,0.133
BIRCH,high,scenario_A,ts-order-service,100,Accuracy,0.351
BIRCH,high,scenario_A,ts-order-service,100,Accuracy,0.364
BIRCH,high,scenario_A,ts-order-service,100,Accuracy,0.0
BIRCH,high,scenario_A,ts-order-service,100,Accuracy,0.0
BIRCH,high,scenario_A,ts-order-service,100,Accuracy,0.333
BIRCH,high,scenario_A,ts-order-service,100,Accuracy,0.0
BIRCH,high,scenario_A,ts-order-service,100,Accuracy,0.0
BIRCH,high,scenario_A,ts-order-service,100,Accuracy,0.0
BIRCH,high,scenario_A,ts-order-service,100,Accuracy,0.0
BIRCH,high,scenario_A,ts-order-service,100,Accuracy,0.093
BIRCH,high,scenario_A,ts-order-service,100,Accuracy,0.286
BIRCH,high,scenario_A,ts-order-service,100,Accuracy,0.099
BIRCH,high,scenario_A,ts-order-service,100,Accuracy,1.0
BIRCH,high,scenario_A,ts-order-service,100,Accuracy,0.4
BIRCH,high,scenario_A,ts-order-service,100,Accuracy,0.0
BIRCH,high,scenario_A,ts-order-service,100,Accuracy,0.333
BIRCH,high,scenario_A,ts-order-service,100,Accuracy,0.368
BIRCH,high,scenario_A,ts-order-service,100,Accuracy,0.0
BIRCH,high,scenario_A,ts-order-service,100,Accuracy,0.105
BIRCH,high,scenario_A,ts-order-service,100,Accuracy,0.243
BIRCH,high,scenario_A,ts-order-service,100,Accuracy,0.421
BIRCH,high,scenario_A,ts-order-service,100,Accuracy,0.0
BIRCH,high,scenario_A,ts-order-service,100,Accuracy,0.375
BIRCH,high,scenario_A,ts-order-service,100,Accuracy,0.476
BIRCH,high,scenario_A,ts-order-service,100,Accuracy,0.145
BIRCH,high,scenario_A,ts-order-service,100,Accuracy,0.138
